name,state,region,budget,climate,activity_type,best_season,vibe,rating,description,daily_cost_min,daily_cost_max,famous_for,crowd_level,language,best_food,entry_fee,stay_type,travel_mode,trek_difficulty,wildlife,unesco,honeymoon_suitable,family_suitable,solo_suitable,adventure_level,spiritual_level,photography_score,nearest_airport,nearest_railway,best_month,local_transport,avg_temp_summer,avg_temp_winter,internet_connectivity,medical_facilities,visa_required,currency_tips,off_season_discount,hidden_gem_score,instagram_worthy,night_life,shopping_rating,kid_friendly_score,pet_friendly,accessibility_score,hindi_name
Jawai,Rajasthan,North,medium,hot,nature,winter,nature,4.6,Leopard capital of India with dramatic granite landscapes and tribal culture,2000,6000,Leopard Safari|Granite Hills|Tribal Culture,Low,Hindi|Rajasthani,Dal Baati|Thali,Free,Luxury Camp|Jungle Lodge,Car,,Leopard|Crocodile|Wolf,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,जवाई
Bhedaghat,Madhya Pradesh,Central,low,mild,nature,winter,nature,4.5,Spectacular marble rocks along Narmada river with Dhuandhar waterfall,600,1800,Marble Rocks|Dhuandhar Falls|Boat Ride,Low,Hindi,Dal Baati|Poha|Thali,100,Hotel|Guesthouse,Car|Bus,,Gharial|Crocodile,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,भेड़ाघाट
Chettinad,Tamil Nadu,South,low,hot,cultural,winter,cultural,4.5,Magnificent mansions and the birthplace of iconic Chettinad cuisine,700,2000,Chettinad Cuisine|Mansions|Antiques,Low,Tamil,Chettinad Chicken|Kuzhi Paniyaram|Kavuni Arisi,Free,Heritage Mansion|Hotel,Car|Bus,,—,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,चेट्टिनाड
Pelling,Sikkim,Northeast,low,mild,nature,spring,nature,4.6,Breathtaking views of Kanchenjunga with monasteries and hidden waterfalls,900,2800,Kanchenjunga View|Monasteries|Waterfalls,Low,Nepali|Sikkimese,Momos|Thukpa|Gundruk,Free,Hotel|Homestay,Car,Easy,Red Panda|Snow Leopard,No,Yes,Yes,Yes,Medium,High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पेलिंग
Gurez Valley,Jammu & Kashmir,North,low,cold,adventure,summer,nature,4.7,Remote pristine valley untouched by tourism with Dard tribe settlements,1000,3000,Pristine Valley|Dard Tribe|River,Low,Kashmiri|Shina,Wazwan|Rogan Josh|Kahwa,Free,Homestay|Camp,Car,Moderate,Brown Bear|Snow Leopard,No,No,Yes,Yes,Medium,Medium,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,गुरेज़ घाटी
Dzukou Valley,Nagaland,Northeast,low,mild,adventure,spring,nature,4.8,Valley of flowers of the Northeast with rare seasonal blooms and peaks,800,2200,Valley of Flowers|Trekking|Rare Flora,Low,Naga|Hindi,Smoked Pork|Axone|Rice Beer,Free,Trek Hut|Camp,Trek Only,Challenging,Hornbill|Hoolock Gibbon,No,No,Yes,Yes,High,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ज़ुकू घाटी
Shillong,Meghalaya,Northeast,low,mild,nature,spring,nature,4.5,Scotland of the East with rolling hills waterfalls and vibrant music culture,900,2500,Waterfalls|Music|Living Root Bridges,Medium,Khasi|Hindi|Bengali,Jadoh|Pukhlein|Rice Beer,Free,Hotel|Guesthouse,Flight|Car,Easy,Clouded Leopard|Hornbill,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,शिलांग
Mathura Vrindavan,Uttar Pradesh,North,low,mild,cultural,spring,spiritual,4.6,Birthplace of Lord Krishna with colorful Holi celebrations and ancient temples,600,1800,Krishna Temples|Holi Festival|Yamuna Ghats,High,Hindi|Brajbhasha,Peda|Kachori|Mathura Ke Pede,Free,Budget Hotel|Dharamsala,Train|Bus,,Monkey|Peacock,No,Yes,Yes,Yes,Low,Very High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मथुरा वृंदावन
Konark,Odisha,East,low,mild,cultural,winter,cultural,4.6,UNESCO Sun Temple masterpiece of ancient Kalinga architecture,600,1800,Sun Temple|UNESCO|Beach,Low,Odia,Dalma|Chhena Poda|Mahaprasad,40,Hotel|Guesthouse,Train|Car,,Olive Ridley Turtle,Yes,Yes,Yes,Yes,Low,High,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कोणार्क
Binsar,Uttarakhand,North,low,cold,nature,spring,nature,4.5,Panoramic Himalayan views from a tranquil wildlife sanctuary,900,2800,Himalayan Panorama|Wildlife|Peace,Low,Hindi|Kumaoni,Thali|Bal Mithai|Local Food,Free,Forest Hut|Guesthouse,Car,Easy,Himalayan Bear|Leopard|Barking Deer,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बिनसर
Amer,Rajasthan,North,medium,hot,cultural,winter,cultural,4.7,Magnificent hilltop Amer Fort overlooking Maota Lake near Jaipur,1500,4500,Amer Fort|Elephant Ride|Sheesh Mahal,High,Hindi|Rajasthani,Dal Baati|Pyaaz Kachori,200,Heritage Hotel|Budget Hotel,Car|Bus,,Elephant|Peacock,Yes,Yes,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,आमेर
Murudeshwar,Karnataka,South,low,tropical,cultural,winter,spiritual,4.5,Towering Shiva statue by the Arabian Sea with world-class temple complex,700,2000,Shiva Statue|Sea Temple|Scuba Diving,Medium,Kannada,Seafood|Neer Dosa|Fish Curry,Free,Hotel|Beach Resort,Train|Car,,Dolphin|Sea Turtle,No,Yes,Yes,Yes,Low,High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुरुदेश्वर
Badami,Karnataka,South,low,hot,cultural,winter,cultural,4.6,Cave temples carved into red sandstone cliffs above a scenic lake,600,1800,Cave Temples|Red Sandstone|History,Low,Kannada,Jowar Roti|Enne Badnekai|Thali,15,Hotel|Guesthouse,Car|Bus,Easy,Eagle|Vulture,Yes,Yes,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बादामी
Lakshadweep,Lakshadweep,Island,high,tropical,beach,winter,romantic,4.9,Pristine coral atolls with lagoons untouched marine life and white sand,5000,15000,Coral Reefs|Lagoons|Water Sports,Low,Malayalam|Hindi,Seafood|Coconut Rice|Tuna,Free,Beach Resort|Luxury Cottage,Flight,,Sea Turtle|Dolphin|Manta Ray,No,Yes,Yes,Yes,Medium,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लक्षद्वीप
Kanha,Madhya Pradesh,Central,medium,mild,nature,winter,nature,4.7,Inspiration for Jungle Book with tiger sightings and barasingha deer,2500,7000,Tiger Safari|Barasingha|Jungle Book,Low,Hindi,Dal Baati|Thali|Poha,Free,Jungle Lodge|Resort,Flight|Car,,Bengal Tiger|Barasingha|Wild Dog,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कान्हा
Bandhavgarh,Madhya Pradesh,Central,medium,hot,nature,winter,nature,4.7,Highest tiger density in India with ancient cave paintings and fort ruins,2500,7000,Tiger Safari|Ancient Fort|Wildlife,Low,Hindi,Dal Baati|Thali|Poha,Free,Jungle Lodge|Resort,Train|Car,,Bengal Tiger|Leopard|Sloth Bear,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बांधवगढ़
Kutch,Gujarat,West,medium,hot,cultural,winter,cultural,4.7,Great Rann white salt desert and vibrant Kutchi tribal handicrafts,1500,4000,Rann of Kutch|White Desert|Handicrafts,Medium,Gujarati|Kutchi,Dabeli|Thepla|Kutchi Khichdi,Free,Tent City|Hotel,Flight|Car,,Wild Ass|Flamingo|Chinkara,No,Yes,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कच्छ
Diu,Daman & Diu,West,low,tropical,beach,winter,romantic,4.4,Portuguese colonial heritage pristine beaches and peaceful island vibes,900,2500,Portuguese Fort|Beaches|Quiet Escape,Low,Hindi|Gujarati,Seafood|Sanna|Bebinca,Free,Beach Resort|Guesthouse,Flight|Bus,,Dolphin,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,दीव
Nubra Valley,Jammu & Kashmir,North,medium,cold,adventure,summer,adventure,4.8,Double-humped Bactrian camels and sand dunes in the Himalayas,2000,5500,Bactrian Camels|Sand Dunes|Diskit Monastery,Low,Ladakhi|Hindi,Thukpa|Skyu|Apricot Jam,Free,Camp|Guesthouse,Car|Bike,,Bactrian Camel|Snow Leopard,No,No,Yes,Yes,Medium,High,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,नुब्रा घाटी
Araku Valley,Andhra Pradesh,South,low,mild,nature,winter,nature,4.5,Tribal heartland with coffee plantations waterfalls and scenic train journey,700,2000,Coffee|Tribal Culture|Scenic Train,Low,Telugu|Gondi,Bamboo Chicken|Araku Coffee|Tribal Thali,Free,Guesthouse|Resort,Train|Car,Easy,Elephant|Gaur|Bison,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अराकू घाटी
Tirthan Valley,Himachal Pradesh,North,low,mild,nature,spring,nature,4.7,Hidden gem with crystal trout-filled river Great Himalayan National Park,900,2800,Trout Fishing|GHNP|River Camping,Low,Hindi|Pahari,Trout Fish|Siddu|Local Thali,Free,Riverside Camp|Guesthouse,Car,Moderate,Brown Bear|Snow Leopard|Musk Deer,Yes,No,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,तीर्थन घाटी
Landour,Uttarakhand,North,low,cold,nature,spring,nature,4.6,Quaint Mussoorie neighbour with Ruskin Bond connection and colonial charm,900,2800,Ruskin Bond|Colonial Charm|Peace,Low,Hindi|English,Tibetan Food|Thali|Bakery,Free,Guesthouse|Homestay,Car,Easy,Barking Deer|Langur,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लंढौर
Mukteshwar,Uttarakhand,North,low,cold,nature,spring,nature,4.5,Serene Kumaon village with apple orchards Himalayan views and rock climbing,800,2500,Apple Orchards|Himalayan Views|Rock Climbing,Low,Hindi|Kumaoni,Thali|Bal Mithai|Aloo Gutke,Free,Homestay|Guesthouse,Car,Easy,Leopard|Barking Deer,No,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुक्तेश्वर
Champaner,Gujarat,West,low,hot,cultural,winter,cultural,4.5,UNESCO World Heritage site with medieval mosques and Hindu temples,600,1800,UNESCO|Medieval Mosques|Pavagadh Hill,Low,Gujarati,Thepla|Khakhra|Undhiyu,20,Hotel|Guesthouse,Car|Bus,Easy,—,Yes,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,चांपानेर
Kolad,Maharashtra,West,low,tropical,adventure,monsoon,adventure,4.5,Monsoon adventure hub with white water rafting on Kundalika river,800,2500,River Rafting|Rappelling|Camping,Low,Marathi,Malvani Thali|Fish Curry|Vada Pav,Free,Camp|Resort,Car,,Crocodile|Kingfisher,No,No,Yes,Yes,Very High,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कोलाड
Chail,Himachal Pradesh,North,low,cold,nature,summer,nature,4.4,Peaceful hill retreat with the worlds highest cricket ground,900,2800,Highest Cricket Ground|Pine Forests|Peace,Low,Hindi|Pahari,Siddu|Thali|Chha Gosht,Free,Hotel|Guesthouse,Car,Easy,Barking Deer|Himalayan Monal,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,चैल
Haflong,Assam,Northeast,low,mild,nature,winter,nature,4.4,Northeasts only hill station with Haflong Lake tribal culture and misty hills,700,2000,Hill Station|Tribal Culture|Lake,Low,Dimasa|Hindi|Assamese,Khar|Pitha|Rice Beer,Free,Guesthouse|Homestay,Train|Car,Easy,Clouded Leopard|Hoolock Gibbon,No,No,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,हाफलोंग
Panchgani,Maharashtra,West,low,mild,nature,summer,nature,4.4,Table land plateau strawberry farms and panoramic Deccan views,800,2500,Table Land|Strawberries|Paragliding,Medium,Marathi,Strawberry Cream|Vada Pav|Corn,Free,Hotel|Camp,Car|Bus,Easy,Barking Deer|Langur,No,Yes,Yes,Yes,Medium,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पांचगनी
Lepakshi,Andhra Pradesh,South,low,hot,cultural,winter,cultural,4.5,Ancient Vijayanagara temple with the largest Nandi statue and hanging pillar,500,1500,Hanging Pillar|Nandi Statue|Frescoes,Low,Telugu,Gongura Pickle|Pesarattu|Thali,20,Day Trip Only,Car|Bus,,Peacock,No,Yes,Yes,Yes,Low,High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लेपाक्षी
Mandu,Madhya Pradesh,Central,low,mild,cultural,winter,cultural,4.4,Ruined city of joy with magnificent Afghan architecture and baolis,600,1800,Afghan Architecture|Baolis|Ruins,Low,Hindi,Dal Baati|Poha|Thali,100,Hotel|Guesthouse,Car|Bus,Easy,Nilgai|Jackal,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मांडू
Bhandardara,Maharashtra,West,low,mild,nature,monsoon,nature,4.5,Scenic dam lake firefly festival and umbrella falls near Mumbai,700,2000,Fireflies|Umbrella Falls|Lake Camping,Low,Marathi,Zunka Bhakar|Vada Pav|Bhel,Free,Camp|Resort,Car|Train,Easy,Barking Deer|Langur,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,भंडारदरा
Kheerganga,Himachal Pradesh,North,low,mild,adventure,summer,adventure,4.6,Hot spring trek through dense forests and apple orchards in Parvati Valley,700,2000,Hot Springs|Trekking|Parvati Valley,Low,Hindi|Pahari,Thali|Maggi|Lassi,Free,Camp|Trek Hut,Trek Only,Moderate,Himalayan Bear|Musk Deer,No,No,Yes,Yes,High,High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,खीर गंगा
Rann of Kutch,Gujarat,West,medium,hot,cultural,winter,nature,4.7,World's largest salt flat turning brilliant white under the full moon,1500,5000,White Desert|Full Moon Night|Handicrafts,Medium,Gujarati|Kutchi,Dabeli|Thepla|Khichdi,Free,Tent City|Luxury Camp,Car|Flight,,Wild Ass|Flamingo,No,Yes,Yes,Yes,Low,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कच्छ का रण
Marayoor,Kerala,South,low,mild,nature,winter,nature,4.4,Kerala's sandalwood and sugarcane kingdom with Muniyara dolmens,800,2200,Sandalwood|Sugarcane|Dolmens,Low,Malayalam,Kerala Meals|Payasam|Puttu,Free,Homestay|Resort,Car,Easy,Elephant|Gaur,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मारयूर
Kausani,Uttarakhand,North,low,cold,nature,spring,nature,4.5,Switzerland of India with panoramic Himalayan sunrise and tea gardens,900,2500,Himalayan Sunrise|Tea Gardens|Gandhi Ashram,Low,Hindi|Kumaoni,Thali|Bal Mithai|Kafuli,Free,Hotel|Guesthouse,Car|Bus,Easy,Himalayan Bear|Monal,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कौसानी
Naggar,Himachal Pradesh,North,low,mild,cultural,spring,nature,4.5,Ancient castle village of Kullu valley with Nicholas Roerich Art Gallery,800,2400,Roerich Art Gallery|Castle|Apple Orchards,Low,Hindi|Kulluvi,Trout|Siddu|Local Thali,Free,Guesthouse|Homestay,Car,Easy,Himalayan Bear|Musk Deer,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,नग्गर
Spiti - Key Monastery,Himachal Pradesh,North,medium,cold,cultural,summer,spiritual,4.8,Ancient monastery on a cliff with 1000 year old mural paintings at 4166m,1500,4000,Ancient Murals|Cliff Monastery|High Altitude,Low,Spitian|Hindi,Thukpa|Tsampa|Butter Tea,Free,Monastery Stay|Guesthouse,Car|Bike,,Snow Leopard|Ibex,No,No,Yes,Yes,Medium,Very High,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,स्पीति - की मठ
Patan,Gujarat,West,low,hot,cultural,winter,cultural,4.5,UNESCO Rani ki Vav stepwell and Patola silk weaving tradition,600,1800,Rani ki Vav|Patola Silk|Stepwells,Low,Gujarati,Thepla|Khichdi|Fafda,Free,Hotel|Guesthouse,Car|Bus,,—,Yes,Yes,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पाटन
Mudumalai,Tamil Nadu,South,medium,tropical,nature,winter,nature,4.6,Wildlife sanctuary at the tri-junction of three states with elephant herds,1800,5000,Elephant|Tiger|Teak Forest,Low,Tamil|Kannada|Telugu,Filter Coffee|Rice Thali|Jungle Food,500,Jungle Lodge|Forest Bungalow,Car,,Elephant|Tiger|Gaur|Sloth Bear,No,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुदुमलाई
Bir Billing,Himachal Pradesh,North,low,mild,adventure,spring,adventure,4.7,Paragliding capital of Asia with Tibetan monasteries and Himalayan views,900,2800,Paragliding|Tibetan Culture|Monasteries,Low,Hindi|Tibetan,Momos|Thukpa|Butter Tea,Free,Camp|Guesthouse,Car|Bus,,Himalayan Monal|Snow Pigeon,No,No,Yes,Yes,Very High,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बीर बिलिंग
Muzhappilangad Beach,Kerala,South,low,tropical,beach,winter,nature,4.4,Indias longest drive-in beach with no rocks and smooth sands,700,2000,Drive-In Beach|Sunset|Coconut Groves,Low,Malayalam,Seafood|Banana Fritters|Coconut Water,Free,Beach Resort|Guesthouse,Car|Bus,,Sea Turtle,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुझप्पिलंगड बीच
Kalo Dungar,Gujarat,West,low,hot,nature,winter,nature,4.5,Black hills with magnetic fields that attract vehicles and panoramic Rann views,500,1500,Magnetic Hill|Rann View|Sunset,Low,Gujarati|Kutchi,Thepla|Khichdi|Chai,Free,Budget Hotel|Camp,Car,Easy,Wild Ass|Fox,No,No,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,काला डूंगर
Kabini,Karnataka,South,medium,tropical,nature,winter,nature,4.7,Premium wildlife resort on the banks of the Kabini reservoir,2500,8000,Tiger|Leopard|Elephant|Boat Safari,Low,Kannada,South Indian Thali|Filter Coffee,Free,Luxury Lodge|Resort,Car,,Tiger|Leopard|Elephant|Wild Dog,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,काबिनी
Chandra Taal,Himachal Pradesh,North,low,cold,adventure,summer,adventure,4.8,Moon Lake at 4300m surrounded by barren mountains and stunning reflections,1500,4000,Moon Lake|Camping|Stargazing,Low,Hindi|Spitian,Camp Food|Maggi|Chai,Free,Camp Only,Car|Trek,Challenging,Snow Leopard|Ibex,No,No,Yes,Yes,Very High,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,चंद्रताल
Hemis,Jammu & Kashmir,North,low,cold,cultural,summer,spiritual,4.7,Largest monastery in Ladakh famous for its annual mask dance festival,1500,4000,Hemis Festival|Largest Monastery|Thangka Art,Low,Ladakhi|Hindi,Thukpa|Butter Tea|Tsampa,Free,Guesthouse|Monastery Stay,Car,,Snow Leopard|Tibetan Wolf,No,No,Yes,Yes,Low,Very High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,हेमिस
Nohkalikai,Meghalaya,Northeast,low,tropical,nature,monsoon,nature,4.6,Indias tallest plunge waterfall dropping 340m into a blue-green pool,800,2200,Tallest Waterfall|Blue Pool|Cherrapunji,Low,Khasi|Hindi,Jadoh|Dohneiiong|Rice Beer,Free,Guesthouse|Budget Hotel,Car,Easy,Clouded Leopard|Hornbill,No,No,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,नोहकलिकाई
Coonoor,Tamil Nadu,South,low,mild,nature,spring,nature,4.5,Quieter Nilgiri hill station with spectacular Sim's Park and tea estates,900,2500,Tea Estates|Sims Park|Toy Train,Medium,Tamil|Kannada,Nilgiri Tea|Varkey|Vegetable Stew,Free,Hotel|Homestay,Train|Car,Easy,Nilgiri Marten|Gaur,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कूनूर
Sattal,Uttarakhand,North,low,mild,nature,spring,nature,4.5,Seven interconnected freshwater lakes with bird watching paradise in Kumaon,800,2400,Seven Lakes|Bird Watching|Peace,Low,Hindi|Kumaoni,Thali|Local Food|Kafuli,Free,Guesthouse|Eco Lodge,Car,Easy,Himalayan Bear|Kingfisher|Osprey,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,सातताल
Cotigao,Goa,West,low,tropical,nature,winter,nature,4.4,Goas lesser-known wildlife sanctuary with sloth bears and rare birds,1200,3000,Wildlife|Forest|Peace,Low,Konkani|Marathi,Fish Curry|Bebinca|Xacuti,Free,Forest Lodge|Camp,Car,Easy,Sloth Bear|Malabar Giant Squirrel,No,No,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कोटिगाओ
Rewalsar Lake,Himachal Pradesh,North,low,mild,cultural,spring,spiritual,4.4,Sacred lake shared by Hindus Buddhists and Sikhs with floating reed islands,700,2000,Sacred Lake|Floating Islands|Monasteries,Low,Hindi|Pahari,Thali|Momos|Butter Tea,Free,Guesthouse|Budget Hotel,Car|Bus,,Cormorant|Kingfisher,No,Yes,Yes,Yes,Low,Very High,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,रेवालसर झील
Yana Rocks,Karnataka,South,low,tropical,adventure,monsoon,nature,4.6,Majestic monolith rock formations rising from dense Sahyadri forest,700,2000,Monolith Rocks|Forest Trek|Cave Temple,Low,Kannada,Kadale Mannu|Thali|Local Snacks,Free,Budget Hotel|Guesthouse,Car,Moderate,Malabar Giant Squirrel|Hornbill,No,No,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,याना चट्टानें
Dibang Valley,Arunachal Pradesh,Northeast,low,mild,nature,spring,nature,4.7,Remote valley with Mishmi tribe culture and rare Red Panda habitat,1000,3000,Mishmi Culture|Red Panda|Pristine Forest,Low,Idu Mishmi|Hindi,Smoked Pork|Bamboo Rice|Wild Herbs,Free,Homestay|Camp,Car|Trek,Challenging,Red Panda|Hoolock Gibbon,No,No,Yes,Yes,Medium,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,दिबांग घाटी
Bhimashankar,Maharashtra,West,low,tropical,nature,monsoon,nature,4.5,Dense forest sanctuary with rare Indian Giant Squirrel and Jyotirlinga temple,800,2200,Giant Squirrel|Jyotirlinga|Forest Trek,Low,Marathi,Zunka Bhakri|Pitla|Local Veg,Free,Forest Lodge|Guesthouse,Car|Trek,Moderate,Indian Giant Squirrel|Leopard,No,No,Yes,Yes,Medium,High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,भीमाशंकर
Tadoba,Maharashtra,West,medium,hot,nature,winter,nature,4.7,Maharashtras oldest tiger reserve with excellent big cat sighting record,2500,7000,Tiger Safari|Leopard|Wild Dog,Low,Marathi|Hindi,Thali|Dal Bati|Camp Food,Free,Jungle Lodge|Resort,Train|Car,,Bengal Tiger|Leopard|Gaur|Wild Dog,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ताडोबा
Bhutan Border - Phuentsholing,West Bengal,East,low,mild,cultural,spring,cultural,4.4,Indo-Bhutan border town with Bhutanese architecture and culture,700,2000,Bhutan Gate|Cultural Mix|Day Trip,Low,Bengali|Hindi|Dzongkha,Momos|Ema Datshi|Thali,Free,Hotel|Guesthouse,Car|Bus,,—,No,Yes,Yes,Yes,Low,Medium,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,भूटान सीमा - फुएंत्शोलिंग
